"Name","Location","Function Signature","Function Size"
"PutPropertyBlock","1000bd80","bool PutPropertyBlock(PPropertyWriter * this\, PProperties * param_1)","19"
"IsFileValid","1000bda0","bool IsFileValid(PPropertyWriter * this)","11"
"AddDefinitionBlock","1000bdb0","void AddDefinitionBlock(PPropertyWriter * this\, TManagedPtr<class_PPropertyBlock> param_1)","236"
"Close","1000beb0","void Close(PPropertyWriter * this)","36"
"DeinitialiseStatic","1000bee0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000bef0","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000bf00","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000bf20","TObject * CreateObject(void)","40"
"GetClass","1000bf50","TClass * GetClass(PPropertyWriter * this)","6"
"FUN_1000bf60","1000bf60","int FUN_1000bf60(int * param_1)","151"
"FUN_1000c010","1000c010","int FUN_1000c010(int * param_1)","151"
"FUN_1000c0c0","1000c0c0","int * FUN_1000c0c0(void * this\, int * param_1\, int * param_2\, undefined * param_3)","307"
"FUN_1000c200","1000c200","undefined FUN_1000c200(void * this\, int param_1\, int param_2)","653"
"PrintUnsignedAsHex","1000c4c0","void PrintUnsignedAsHex(PPropertyWriter * this\, bool param_1)","10"
"operator_delete","1000c662","thunk void operator_delete(void * param_1)","6"
"FUN_1000c668","1000c668","undefined FUN_1000c668(_onexit_t param_1)","44"
"FUN_1000c694","1000c694","int FUN_1000c694(_onexit_t param_1)","18"
"operator_new","1000c6a6","thunk void * operator_new(uint param_1)","6"
"FUN_1000c6cc","1000c6cc","undefined4 FUN_1000c6cc(undefined4 param_1\, int param_2)","171"
"entry","1000c777","int entry(HMODULE param_1\, int param_2\, undefined4 param_3)","157"
"__dllonexit","1000c814","thunk undefined __dllonexit()","6"
"_initterm","1000c820","thunk undefined _initterm()","6"
"FUN_1000c82c","1000c82c","undefined4 FUN_1000c82c(HMODULE param_1\, int param_2)","32"
