"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"?ApplyFixedWidgetProperties@TGUIStyle@Toshi@@QAEXPAVTGUIWidget@2@@Z","10018220","Function","2","Toshi::TGUIStyle::ApplyFixedWidgetProperties","","?ApplyFixedWidgetProperties@TGUIStyle@Toshi@@QAEXPAVTGUIWidget@2@@Z"
"Ordinal_820","10018280","Function","7","Toshi::TGUIStyle::HitTest","","Ordinal_820"
"HitTest","10018280","Function","7","Toshi::TGUIStyle::HitTest","bool","bool HitTest(TGUIStyle * this\, TGUIWidget * param_1\, int param_2\, int param_3\, uint param_4\, PPropertyValue * param_5\, TGUIComponentCache * param_6)"
"?HitTest@TGUIStyle@Toshi@@QAE_NPAVTGUIWidget@2@HHIPAVPPropertyValue@@PAVTGUIComponentCache@2@@Z","10018280","Function","7","Toshi::TGUIStyle::HitTest","","?HitTest@TGUIStyle@Toshi@@QAE_NPAVTGUIWidget@2@HHIPAVPPropertyValue@@PAVTGUIComponentCache@2@@Z"
"Ordinal_959","100183a0","Function","6","Toshi::TGUIStyle::Paint","","Ordinal_959"
"Paint","100183a0","Function","6","Toshi::TGUIStyle::Paint","void","void Paint(TGUIStyle * this\, TGUIDisplayContext * param_1\, TGUIWidget * param_2\, uint param_3\, PPropertyValue * param_4\, TGUIComponentCache * param_5)"
"?Paint@TGUIStyle@Toshi@@QAEXPAVTGUIDisplayContext@2@PAVTGUIWidget@2@IPAVPPropertyValue@@PAVTGUIComponentCache@2@@Z","100183a0","Function","6","Toshi::TGUIStyle::Paint","","?Paint@TGUIStyle@Toshi@@QAEXPAVTGUIDisplayContext@2@PAVTGUIWidget@2@IPAVPPropertyValue@@PAVTGUIComponentCache@2@@Z"
"Ordinal_459","100184c0","Function","3","Toshi::TGUIStyle::DeserialiseComponents","","Ordinal_459"
"DeserialiseComponents","100184c0","Function","3","Toshi::TGUIStyle::DeserialiseComponents","bool","bool DeserialiseComponents(TGUIStyle * this\, PProperties * param_1\, TNodeList<class_Toshi::TGUIComponent> * param_2)"
"?DeserialiseComponents@TGUIStyle@Toshi@@QAE_NPBVPProperties@@AAV?$TNodeList@VTGUIComponent@Toshi@@@2@@Z","100184c0","Function","3","Toshi::TGUIStyle::DeserialiseComponents","","?DeserialiseComponents@TGUIStyle@Toshi@@QAE_NPBVPProperties@@AAV?$TNodeList@VTGUIComponent@Toshi@@@2@@Z"
"Ordinal_1006","100186d0","Function","3","Toshi::TGUIStyle::SerialiseComponents","","Ordinal_1006"
"SerialiseComponents","100186d0","Function","3","Toshi::TGUIStyle::SerialiseComponents","bool","bool SerialiseComponents(TGUIStyle * this\, PProperties * param_1\, TNodeList<class_Toshi::TGUIComponent> * param_2)"
"?SerialiseComponents@TGUIStyle@Toshi@@QAE_NPAVPProperties@@AAV?$TNodeList@VTGUIComponent@Toshi@@@2@@Z","100186d0","Function","3","Toshi::TGUIStyle::SerialiseComponents","","?SerialiseComponents@TGUIStyle@Toshi@@QAE_NPAVPProperties@@AAV?$TNodeList@VTGUIComponent@Toshi@@@2@@Z"
"Ordinal_76","10018780","Function","2","Toshi::TGUIStyle::TGUIStyle","","Ordinal_76"
"TGUIStyle","10018780","Function","2","Toshi::TGUIStyle::TGUIStyle","undefined","undefined TGUIStyle(TGUIStyle * this\, TGUIStyle * param_1)"
