"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"?GetSCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a030","Function","1","Toshi::TKeyframeLibraryInstance::GetSCount","","?GetSCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_684","1000a040","Function","1","Toshi::TKeyframeLibraryInstance::GetQCount","","Ordinal_684"
"GetQCount","1000a040","Function","1","Toshi::TKeyframeLibraryInstance::GetQCount","int","int GetQCount(TKeyframeLibraryInstance * this)"
"?GetQCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a040","Function","1","Toshi::TKeyframeLibraryInstance::GetQCount","","?GetQCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_745","1000a050","Function","1","Toshi::TKeyframeLibraryInstance::GetTCount","","Ordinal_745"
"GetTCount","1000a050","Function","1","Toshi::TKeyframeLibraryInstance::GetTCount","int","int GetTCount(TKeyframeLibraryInstance * this)"
"?GetTCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a050","Function","1","Toshi::TKeyframeLibraryInstance::GetTCount","","?GetTCount@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_706","1000a060","Function","1","Toshi::TKeyframeLibraryInstance::GetSBaseIndex","","Ordinal_706"
"GetSBaseIndex","1000a060","Function","1","Toshi::TKeyframeLibraryInstance::GetSBaseIndex","int","int GetSBaseIndex(TKeyframeLibraryInstance * this)"
"?GetSBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a060","Function","1","Toshi::TKeyframeLibraryInstance::GetSBaseIndex","","?GetSBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_682","1000a070","Function","1","Toshi::TKeyframeLibraryInstance::GetQBaseIndex","","Ordinal_682"
"GetQBaseIndex","1000a070","Function","1","Toshi::TKeyframeLibraryInstance::GetQBaseIndex","int","int GetQBaseIndex(TKeyframeLibraryInstance * this)"
"?GetQBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a070","Function","1","Toshi::TKeyframeLibraryInstance::GetQBaseIndex","","?GetQBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_743","1000a080","Function","1","Toshi::TKeyframeLibraryInstance::GetTBaseIndex","","Ordinal_743"
"GetTBaseIndex","1000a080","Function","1","Toshi::TKeyframeLibraryInstance::GetTBaseIndex","int","int GetTBaseIndex(TKeyframeLibraryInstance * this)"
"?GetTBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ","1000a080","Function","1","Toshi::TKeyframeLibraryInstance::GetTBaseIndex","","?GetTBaseIndex@TKeyframeLibraryInstance@Toshi@@QAEHXZ"
"Ordinal_608","1000a090","Function","1","Toshi::TKeyframeLibraryInstance::GetLibrary","","Ordinal_608"
"GetLibrary","1000a090","Function","1","Toshi::TKeyframeLibraryInstance::GetLibrary","TKeyframeLibrary *","TKeyframeLibrary * GetLibrary(TKeyframeLibraryInstance * this)"
"?GetLibrary@TKeyframeLibraryInstance@Toshi@@QAEPAVTKeyframeLibrary@2@XZ","1000a090","Function","1","Toshi::TKeyframeLibraryInstance::GetLibrary","","?GetLibrary@TKeyframeLibraryInstance@Toshi@@QAEPAVTKeyframeLibrary@2@XZ"
"Ordinal_176","1000a0a0","Function","2","Toshi::TKeyframeLibrary::operator=","","Ordinal_176"
"operator=","1000a0a0","Function","2","Toshi::TKeyframeLibrary::operator=","TKeyframeLibrary *","TKeyframeLibrary * operator=(TKeyframeLibrary * this\, TKeyframeLibrary * param_1)"
"??4TKeyframeLibrary@Toshi@@QAEAAV01@ABV01@@Z","1000a0a0","Function","2","Toshi::TKeyframeLibrary::operator=","","??4TKeyframeLibrary@Toshi@@QAEAAV01@ABV01@@Z"
"Ordinal_707","1000a110","Function","1","Toshi::TKeyframeLibrary::GetSCount","","Ordinal_707"
"GetSCount","1000a110","Function","1","Toshi::TKeyframeLibrary::GetSCount","int","int GetSCount(TKeyframeLibrary * this)"
"?GetSCount@TKeyframeLibrary@Toshi@@QAEHXZ","1000a110","Function","1","Toshi::TKeyframeLibrary::GetSCount","","?GetSCount@TKeyframeLibrary@Toshi@@QAEHXZ"
"Ordinal_683","1000a120","Function","1","Toshi::TKeyframeLibrary::GetQCount","","Ordinal_683"
"GetQCount","1000a120","Function","1","Toshi::TKeyframeLibrary::GetQCount","int","int GetQCount(TKeyframeLibrary * this)"
"?GetQCount@TKeyframeLibrary@Toshi@@QAEHXZ","1000a120","Function","1","Toshi::TKeyframeLibrary::GetQCount","","?GetQCount@TKeyframeLibrary@Toshi@@QAEHXZ"
"Ordinal_744","1000a130","Function","1","Toshi::TKeyframeLibrary::GetTCount","","Ordinal_744"
"GetTCount","1000a130","Function","1","Toshi::TKeyframeLibrary::GetTCount","int","int GetTCount(TKeyframeLibrary * this)"
"?GetTCount@TKeyframeLibrary@Toshi@@QAEHXZ","1000a130","Function","1","Toshi::TKeyframeLibrary::GetTCount","","?GetTCount@TKeyframeLibrary@Toshi@@QAEHXZ"
"Ordinal_687","1000a140","Function","1","Toshi::TKeyframeLibrary::GetReferenceCount","","Ordinal_687"
"GetReferenceCount","1000a140","Function","1","Toshi::TKeyframeLibrary::GetReferenceCount","int","int GetReferenceCount(TKeyframeLibrary * this)"
"?GetReferenceCount@TKeyframeLibrary@Toshi@@QAEHXZ","1000a140","Function","1","Toshi::TKeyframeLibrary::GetReferenceCount","","?GetReferenceCount@TKeyframeLibrary@Toshi@@QAEHXZ"
"Ordinal_709","1000a150","Function","1","Toshi::TKeyframeLibrary::GetSKeys","","Ordinal_709"
"GetSKeys","1000a150","Function","1","Toshi::TKeyframeLibrary::GetSKeys","float *","float * GetSKeys(TKeyframeLibrary * this)"
"?GetSKeys@TKeyframeLibrary@Toshi@@QAEPAMXZ","1000a150","Function","1","Toshi::TKeyframeLibrary::GetSKeys","","?GetSKeys@TKeyframeLibrary@Toshi@@QAEPAMXZ"
"Ordinal_685","1000a160","Function","1","Toshi::TKeyframeLibrary::GetQKeys","","Ordinal_685"
"GetQKeys","1000a160","Function","1","Toshi::TKeyframeLibrary::GetQKeys","TAnimQuaternion *","TAnimQuaternion * GetQKeys(TKeyframeLibrary * this)"
"?GetQKeys@TKeyframeLibrary@Toshi@@QAEPAUTAnimQuaternion@2@XZ","1000a160","Function","1","Toshi::TKeyframeLibrary::GetQKeys","","?GetQKeys@TKeyframeLibrary@Toshi@@QAEPAUTAnimQuaternion@2@XZ"
"Ordinal_746","1000a170","Function","1","Toshi::TKeyframeLibrary::GetTKeys","","Ordinal_746"
"GetTKeys","1000a170","Function","1","Toshi::TKeyframeLibrary::GetTKeys","TAnimVector *","TAnimVector * GetTKeys(TKeyframeLibrary * this)"
"?GetTKeys@TKeyframeLibrary@Toshi@@QAEPAUTAnimVector@2@XZ","1000a170","Function","1","Toshi::TKeyframeLibrary::GetTKeys","","?GetTKeys@TKeyframeLibrary@Toshi@@QAEPAUTAnimVector@2@XZ"
"Ordinal_599","1000a180","Function","1","Toshi::TKeyframeLibrary::GetKeyMemoryBase","","Ordinal_599"
"GetKeyMemoryBase","1000a180","Function","1","Toshi::TKeyframeLibrary::GetKeyMemoryBase","void *","void * GetKeyMemoryBase(TKeyframeLibrary * this)"
"?GetKeyMemoryBase@TKeyframeLibrary@Toshi@@QAEPAXXZ","1000a180","Function","1","Toshi::TKeyframeLibrary::GetKeyMemoryBase","","?GetKeyMemoryBase@TKeyframeLibrary@Toshi@@QAEPAXXZ"
"Ordinal_704","1000a190","Function","2","Toshi::TKeyframeLibrary::GetS","","Ordinal_704"
"GetS","1000a190","Function","2","Toshi::TKeyframeLibrary::GetS","float","float GetS(TKeyframeLibrary * this\, int param_1)"
"?GetS@TKeyframeLibrary@Toshi@@QAEMH@Z","1000a190","Function","2","Toshi::TKeyframeLibrary::GetS","","?GetS@TKeyframeLibrary@Toshi@@QAEMH@Z"
"Ordinal_680","1000a1e0","Function","2","Toshi::TKeyframeLibrary::GetQ","","Ordinal_680"
"GetQ","1000a1e0","Function","2","Toshi::TKeyframeLibrary::GetQ","TAnimQuaternion *","TAnimQuaternion * GetQ(TKeyframeLibrary * this\, int param_1)"
"?GetQ@TKeyframeLibrary@Toshi@@QAEPAUTAnimQuaternion@2@H@Z","1000a1e0","Function","2","Toshi::TKeyframeLibrary::GetQ","","?GetQ@TKeyframeLibrary@Toshi@@QAEPAUTAnimQuaternion@2@H@Z"
"Ordinal_741","1000a230","Function","2","Toshi::TKeyframeLibrary::GetT","","Ordinal_741"
"GetT","1000a230","Function","2","Toshi::TKeyframeLibrary::GetT","TAnimVector *","TAnimVector * GetT(TKeyframeLibrary * this\, int param_1)"
"?GetT@TKeyframeLibrary@Toshi@@QAEPAUTAnimVector@2@H@Z","1000a230","Function","2","Toshi::TKeyframeLibrary::GetT","","?GetT@TKeyframeLibrary@Toshi@@QAEPAUTAnimVector@2@H@Z"
"Ordinal_698","1000a290","Function","1","Toshi::TKeyframeLibrary::GetResourceName","","Ordinal_698"
"GetResourceName","1000a290","Function","1","Toshi::TKeyframeLibrary::GetResourceName","ResourceName *","ResourceName * GetResourceName(TKeyframeLibrary * this)"
"?GetResourceName@TKeyframeLibrary@Toshi@@QAEAAVResourceName@2@XZ","1000a290","Function","1","Toshi::TKeyframeLibrary::GetResourceName","","?GetResourceName@TKeyframeLibrary@Toshi@@QAEAAVResourceName@2@XZ"
"Ordinal_168","1000a2a0","Function","2","Toshi::TAnimation::operator=","","Ordinal_168"
"operator=","1000a2a0","Function","2","Toshi::TAnimation::operator=","TAnimation *","TAnimation * operator=(TAnimation * this\, TAnimation * param_1)"
"??4TAnimation@Toshi@@QAEAAV01@ABV01@@Z","1000a2a0","Function","2","Toshi::TAnimation::operator=","","??4TAnimation@Toshi@@QAEAAV01@ABV01@@Z"
"Ordinal_103","1000a300","Function","1","Toshi::TAnimation::~TAnimation","","Ordinal_103"
"~TAnimation","1000a300","Function","1","Toshi::TAnimation::~TAnimation","void","void ~TAnimation(TAnimation * this)"
"??1TAnimation@Toshi@@QAE@XZ","1000a300","Function","1","Toshi::TAnimation::~TAnimation","","??1TAnimation@Toshi@@QAE@XZ"
"Ordinal_17","1000a320","Function","1","Toshi::TAnimation::TAnimation","","Ordinal_17"
"TAnimation","1000a320","Function","1","Toshi::TAnimation::TAnimation","undefined","undefined TAnimation(TAnimation * this)"
"??0TAnimation@Toshi@@QAE@XZ","1000a320","Function","1","Toshi::TAnimation::TAnimation","","??0TAnimation@Toshi@@QAE@XZ"
"Ordinal_737","1000a330","Function","1","Toshi::TAnimation::GetSpeed","","Ordinal_737"
"GetSpeed","1000a330","Function","1","Toshi::TAnimation::GetSpeed","float","float GetSpeed(TAnimation * this)"
"?GetSpeed@TAnimation@Toshi@@QAEMXZ","1000a330","Function","1","Toshi::TAnimation::GetSpeed","","?GetSpeed@TAnimation@Toshi@@QAEMXZ"
"Ordinal_716","1000a340","Function","1","Toshi::TAnimation::GetSeqTime","","Ordinal_716"
"GetSeqTime","1000a340","Function","1","Toshi::TAnimation::GetSeqTime","float","float GetSeqTime(TAnimation * this)"
"?GetSeqTime@TAnimation@Toshi@@QAEMXZ","1000a340","Function","1","Toshi::TAnimation::GetSeqTime","","?GetSeqTime@TAnimation@Toshi@@QAEMXZ"
"Ordinal_755","1000a350","Function","1","Toshi::TAnimation::GetTotalTime","","Ordinal_755"
"GetTotalTime","1000a350","Function","1","Toshi::TAnimation::GetTotalTime","float","float GetTotalTime(TAnimation * this)"
"?GetTotalTime@TAnimation@Toshi@@QAEMXZ","1000a350","Function","1","Toshi::TAnimation::GetTotalTime","","?GetTotalTime@TAnimation@Toshi@@QAEMXZ"
"Ordinal_474","1000a360","Function","1","Toshi::TAnimation::GetBlendOutSpeed","","Ordinal_474"
"GetBlendOutSpeed","1000a360","Function","1","Toshi::TAnimation::GetBlendOutSpeed","float","float GetBlendOutSpeed(TAnimation * this)"
"?GetBlendOutSpeed@TAnimation@Toshi@@QAEMXZ","1000a360","Function","1","Toshi::TAnimation::GetBlendOutSpeed","","?GetBlendOutSpeed@TAnimation@Toshi@@QAEMXZ"
"Ordinal_473","1000a370","Function","1","Toshi::TAnimation::GetBlendInSpeed","","Ordinal_473"
"GetBlendInSpeed","1000a370","Function","1","Toshi::TAnimation::GetBlendInSpeed","float","float GetBlendInSpeed(TAnimation * this)"
"?GetBlendInSpeed@TAnimation@Toshi@@QAEMXZ","1000a370","Function","1","Toshi::TAnimation::GetBlendInSpeed","","?GetBlendInSpeed@TAnimation@Toshi@@QAEMXZ"
"Ordinal_541","1000a380","Function","1","Toshi::TAnimation::GetDestWeight","","Ordinal_541"
"GetDestWeight","1000a380","Function","1","Toshi::TAnimation::GetDestWeight","float","float GetDestWeight(TAnimation * this)"
"?GetDestWeight@TAnimation@Toshi@@QAEMXZ","1000a380","Function","1","Toshi::TAnimation::GetDestWeight","","?GetDestWeight@TAnimation@Toshi@@QAEMXZ"
"Ordinal_783","1000a390","Function","1","Toshi::TAnimation::GetWeight","","Ordinal_783"
"GetWeight","1000a390","Function","1","Toshi::TAnimation::GetWeight","float","float GetWeight(TAnimation * this)"
"?GetWeight@TAnimation@Toshi@@QAEMXZ","1000a390","Function","1","Toshi::TAnimation::GetWeight","","?GetWeight@TAnimation@Toshi@@QAEMXZ"
"Ordinal_641","1000a3a0","Function","1","Toshi::TAnimation::GetMode","","Ordinal_641"
"GetMode","1000a3a0","Function","1","Toshi::TAnimation::GetMode","MODE","MODE GetMode(TAnimation * this)"
"?GetMode@TAnimation@Toshi@@QAE?AW4MODE@12@XZ","1000a3a0","Function","1","Toshi::TAnimation::GetMode","","?GetMode@TAnimation@Toshi@@QAE?AW4MODE@12@XZ"
"Ordinal_475","1000a3b0","Function","2","Toshi::TAnimation::GetBone","","Ordinal_475"
"GetBone","1000a3b0","Function","2","Toshi::TAnimation::GetBone","TAnimationBone *","TAnimationBone * GetBone(TAnimation * this\, int param_1)"
"?GetBone@TAnimation@Toshi@@QAEPAVTAnimationBone@2@H@Z","1000a3b0","Function","2","Toshi::TAnimation::GetBone","","?GetBone@TAnimation@Toshi@@QAEPAVTAnimationBone@2@H@Z"
"Ordinal_489","1000a3c0","Function","1","Toshi::TAnimation::GetBones","","Ordinal_489"
"GetBones","1000a3c0","Function","1","Toshi::TAnimation::GetBones","TAnimationBone *","TAnimationBone * GetBones(TAnimation * this)"
"?GetBones@TAnimation@Toshi@@QAEPAVTAnimationBone@2@XZ","1000a3c0","Function","1","Toshi::TAnimation::GetBones","","?GetBones@TAnimation@Toshi@@QAEPAVTAnimationBone@2@XZ"
"Ordinal_559","1000a3d0","Function","1","Toshi::TAnimation::GetFlags","","Ordinal_559"
"GetFlags","1000a3d0","Function","1","Toshi::TAnimation::GetFlags","ushort","ushort GetFlags(TAnimation * this)"
"?GetFlags@TAnimation@Toshi@@QAEGXZ","1000a3d0","Function","1","Toshi::TAnimation::GetFlags","","?GetFlags@TAnimation@Toshi@@QAEGXZ"
"Ordinal_723","1000a3e0","Function","1","Toshi::TAnimation::GetSequencePtr","","Ordinal_723"
"GetSequencePtr","1000a3e0","Function","1","Toshi::TAnimation::GetSequencePtr","TSkeletonSequence *","TSkeletonSequence * GetSequencePtr(TAnimation * this)"
"?GetSequencePtr@TAnimation@Toshi@@QAEPAVTSkeletonSequence@2@XZ","1000a3e0","Function","1","Toshi::TAnimation::GetSequencePtr","","?GetSequencePtr@TAnimation@Toshi@@QAEPAVTSkeletonSequence@2@XZ"
"Ordinal_717","1000a400","Function","1","Toshi::TAnimation::GetSequence","","Ordinal_717"
"GetSequence","1000a400","Function","1","Toshi::TAnimation::GetSequence","short","short GetSequence(TAnimation * this)"
"?GetSequence@TAnimation@Toshi@@QAEFXZ","1000a400","Function","1","Toshi::TAnimation::GetSequence","","?GetSequence@TAnimation@Toshi@@QAEFXZ"
