"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"Ordinal_72","1000a870","Function","4","Toshi::TIndexBlockResource::Create","","Ordinal_72"
"Create","1000a870","Function","4","Toshi::TIndexBlockResource::Create","bool","bool Create(TIndexBlockResource * this\, TIndexFactoryResource * param_1\, ushort param_2\, uint param_3)"
"?Create@TIndexBlockResource@Toshi@@QAE_NPAVTIndexFactoryResource@2@GI@Z","1000a870","Function","4","Toshi::TIndexBlockResource::Create","","?Create@TIndexBlockResource@Toshi@@QAE_NPAVTIndexFactoryResource@2@GI@Z"
"Ordinal_303","1000a910","Function","1","Toshi::TIndexBlockResource::Validate","","Ordinal_303"
"Validate","1000a910","Function","1","Toshi::TIndexBlockResource::Validate","bool","bool Validate(TIndexBlockResource * this)"
"?Validate@TIndexBlockResource@Toshi@@UAE_NXZ","1000a910","Function","1","Toshi::TIndexBlockResource::Validate","","?Validate@TIndexBlockResource@Toshi@@UAE_NXZ"
"Ordinal_229","1000aa30","Function","1","Toshi::TIndexBlockResource::Invalidate","","Ordinal_229"
"Invalidate","1000aa30","Function","1","Toshi::TIndexBlockResource::Invalidate","void","void Invalidate(TIndexBlockResource * this)"
"?Invalidate@TIndexBlockResource@Toshi@@UAEXXZ","1000aa30","Function","1","Toshi::TIndexBlockResource::Invalidate","","?Invalidate@TIndexBlockResource@Toshi@@UAEXXZ"
"Ordinal_57","1000aa90","Function","2","Toshi::TIndexBlockResource::AttachPool","","Ordinal_57"
"AttachPool","1000aa90","Function","2","Toshi::TIndexBlockResource::AttachPool","bool","bool AttachPool(TIndexBlockResource * this\, TIndexPoolResource * param_1)"
"?AttachPool@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z","1000aa90","Function","2","Toshi::TIndexBlockResource::AttachPool","","?AttachPool@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z"
"Ordinal_140","1000ab10","Function","2","Toshi::TIndexBlockResource::DetachPool","","Ordinal_140"
"DetachPool","1000ab10","Function","2","Toshi::TIndexBlockResource::DetachPool","bool","bool DetachPool(TIndexBlockResource * this\, TIndexPoolResource * param_1)"
"?DetachPool@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z","1000ab10","Function","2","Toshi::TIndexBlockResource::DetachPool","","?DetachPool@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z"
"Ordinal_61","1000ad30","Function","2","Toshi::TIndexBlockResource::CanFit","","Ordinal_61"
"CanFit","1000ad30","Function","2","Toshi::TIndexBlockResource::CanFit","bool","bool CanFit(TIndexBlockResource * this\, TIndexPoolResource * param_1)"
"?CanFit@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z","1000ad30","Function","2","Toshi::TIndexBlockResource::CanFit","","?CanFit@TIndexBlockResource@Toshi@@QAE_NPAVTIndexPoolResource@2@@Z"
"Ordinal_182","1000ada0","Function","2","Toshi::TIndexBlockResource::GetHAL","","Ordinal_182"
"GetHAL","1000ada0","Function","2","Toshi::TIndexBlockResource::GetHAL","bool","bool GetHAL(TIndexBlockResource * this\, HALBuffer * param_1)"
"?GetHAL@TIndexBlockResource@Toshi@@QAE_NPAVHALBuffer@12@@Z","1000ada0","Function","2","Toshi::TIndexBlockResource::GetHAL","","?GetHAL@TIndexBlockResource@Toshi@@QAE_NPAVHALBuffer@12@@Z"
"Ordinal_63","1000ae20","Function","2","Toshi::TIndexBlockResource::ChildIndexUsedChanged","","Ordinal_63"
"ChildIndexUsedChanged","1000ae20","Function","2","Toshi::TIndexBlockResource::ChildIndexUsedChanged","void","void ChildIndexUsedChanged(TIndexBlockResource * this\, int param_1)"
"?ChildIndexUsedChanged@TIndexBlockResource@Toshi@@QAEXH@Z","1000ae20","Function","2","Toshi::TIndexBlockResource::ChildIndexUsedChanged","","?ChildIndexUsedChanged@TIndexBlockResource@Toshi@@QAEXH@Z"
"Ordinal_245","1000ae90","Function","3","Toshi::TIndexBlockResource::Lock","","Ordinal_245"
"Lock","1000ae90","Function","3","Toshi::TIndexBlockResource::Lock","bool","bool Lock(TIndexBlockResource * this\, LockBuffer * param_1\, ushort param_2)"
"?Lock@TIndexBlockResource@Toshi@@QAE_NPAVLockBuffer@TIndexPoolResourceInterface@2@G@Z","1000ae90","Function","3","Toshi::TIndexBlockResource::Lock","","?Lock@TIndexBlockResource@Toshi@@QAE_NPAVLockBuffer@TIndexPoolResourceInterface@2@G@Z"
"Ordinal_294","1000b020","Function","1","Toshi::TIndexBlockResource::Unlock","","Ordinal_294"
"Unlock","1000b020","Function","1","Toshi::TIndexBlockResource::Unlock","void","void Unlock(TIndexBlockResource * this)"
"?Unlock@TIndexBlockResource@Toshi@@QAEXXZ","1000b020","Function","1","Toshi::TIndexBlockResource::Unlock","","?Unlock@TIndexBlockResource@Toshi@@QAEXXZ"
"Ordinal_94","1000b0b0","Function","1","Toshi::TIndexBlockResource::CreateHAL","","Ordinal_94"
"CreateHAL","1000b0b0","Function","1","Toshi::TIndexBlockResource::CreateHAL","bool","bool CreateHAL(TIndexBlockResource * this)"
"?CreateHAL@TIndexBlockResource@Toshi@@IAE_NXZ","1000b0b0","Function","1","Toshi::TIndexBlockResource::CreateHAL","","?CreateHAL@TIndexBlockResource@Toshi@@IAE_NXZ"
"Ordinal_137","1000b170","Function","1","Toshi::TIndexBlockResource::DestroyHAL","","Ordinal_137"
"DestroyHAL","1000b170","Function","1","Toshi::TIndexBlockResource::DestroyHAL","void","void DestroyHAL(TIndexBlockResource * this)"
"?DestroyHAL@TIndexBlockResource@Toshi@@IAEXXZ","1000b170","Function","1","Toshi::TIndexBlockResource::DestroyHAL","","?DestroyHAL@TIndexBlockResource@Toshi@@IAEXXZ"
"Ordinal_236","1000b2b0","Function","1","Toshi::TIndexBlockResource::IsLocked","","Ordinal_236"
"IsLocked","1000b2b0","Function","1","Toshi::TIndexBlockResource::IsLocked","bool","bool IsLocked(TIndexBlockResource * this)"
"?IsLocked@TIndexBlockResource@Toshi@@QAE_NXZ","1000b2b0","Function","1","Toshi::TIndexBlockResource::IsLocked","","?IsLocked@TIndexBlockResource@Toshi@@QAE_NXZ"
"Ordinal_175","1000b2c0","Function","1","Toshi::TIndexBlockResource::GetFlags","","Ordinal_175"
"GetFlags","1000b2c0","Function","1","Toshi::TIndexBlockResource::GetFlags","uint","uint GetFlags(TIndexBlockResource * this)"
"?GetFlags@TIndexBlockResource@Toshi@@QAEIXZ","1000b2c0","Function","1","Toshi::TIndexBlockResource::GetFlags","","?GetFlags@TIndexBlockResource@Toshi@@QAEIXZ"
"Ordinal_189","1000b2d0","Function","1","Toshi::TIndexBlockResource::GetIndicesUsed","","Ordinal_189"
"GetIndicesUsed","1000b2d0","Function","1","Toshi::TIndexBlockResource::GetIndicesUsed","uint","uint GetIndicesUsed(TIndexBlockResource * this)"
"?GetIndicesUsed@TIndexBlockResource@Toshi@@QBEIXZ","1000b2d0","Function","1","Toshi::TIndexBlockResource::GetIndicesUsed","","?GetIndicesUsed@TIndexBlockResource@Toshi@@QBEIXZ"
"Ordinal_195","1000b2e0","Function","1","Toshi::TIndexBlockResource::GetMaxIndices","","Ordinal_195"
"GetMaxIndices","1000b2e0","Function","1","Toshi::TIndexBlockResource::GetMaxIndices","ushort","ushort GetMaxIndices(TIndexBlockResource * this)"
"?GetMaxIndices@TIndexBlockResource@Toshi@@QBEGXZ","1000b2e0","Function","1","Toshi::TIndexBlockResource::GetMaxIndices","","?GetMaxIndices@TIndexBlockResource@Toshi@@QBEGXZ"
"Ordinal_171","1000b2f0","Function","1","Toshi::TIndexBlockResource::GetFactory","","Ordinal_171"
"GetFactory","1000b2f0","Function","1","Toshi::TIndexBlockResource::GetFactory","TIndexFactoryResource *","TIndexFactoryResource * GetFactory(TIndexBlockResource * this)"
"?GetFactory@TIndexBlockResource@Toshi@@QAEPAVTIndexFactoryResource@2@XZ","1000b2f0","Function","1","Toshi::TIndexBlockResource::GetFactory","","?GetFactory@TIndexBlockResource@Toshi@@QAEPAVTIndexFactoryResource@2@XZ"
"Ordinal_17","1000b300","Function","1","Toshi::TIndexBlockResource::~TIndexBlockResource","","Ordinal_17"
"~TIndexBlockResource","1000b300","Function","1","Toshi::TIndexBlockResource::~TIndexBlockResource","void","void ~TIndexBlockResource(TIndexBlockResource * this)"
"??1TIndexBlockResource@Toshi@@UAE@XZ","1000b300","Function","1","Toshi::TIndexBlockResource::~TIndexBlockResource","","??1TIndexBlockResource@Toshi@@UAE@XZ"
"Ordinal_119","1000b310","Function","0","Toshi::TIndexBlockResource::DeinitialiseStatic","","Ordinal_119"
"DeinitialiseStatic","1000b310","Function","0","Toshi::TIndexBlockResource::DeinitialiseStatic","void","void DeinitialiseStatic(void)"
