"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"MagnitudeSq","10023c30","Function","1","Toshi::TQuaternion::MagnitudeSq","float","float MagnitudeSq(TQuaternion * this)"
"?MagnitudeSq@TQuaternion@Toshi@@QBEMXZ","10023c30","Function","1","Toshi::TQuaternion::MagnitudeSq","","?MagnitudeSq@TQuaternion@Toshi@@QBEMXZ"
"Ordinal_1501","10023c50","Function","1","Toshi::TQuaternion::SetIdentity","","Ordinal_1501"
"SetIdentity","10023c50","Function","1","Toshi::TQuaternion::SetIdentity","void","void SetIdentity(TQuaternion * this)"
"?SetIdentity@TQuaternion@Toshi@@QAEXXZ","10023c50","Function","1","Toshi::TQuaternion::SetIdentity","","?SetIdentity@TQuaternion@Toshi@@QAEXXZ"
"Ordinal_1468","10023c80","Function","5","Toshi::TQuaternion::Set","","Ordinal_1468"
"Set","10023c80","Function","5","Toshi::TQuaternion::Set","void","void Set(TQuaternion * this\, float param_1\, float param_2\, float param_3\, float param_4)"
"?Set@TQuaternion@Toshi@@QAEXMMMM@Z","10023c80","Function","5","Toshi::TQuaternion::Set","","?Set@TQuaternion@Toshi@@QAEXMMMM@Z"
"Ordinal_118","10023ca0","Function","2","Toshi::TQuaternion::TQuaternion","","Ordinal_118"
"TQuaternion","10023ca0","Function","2","Toshi::TQuaternion::TQuaternion","undefined","undefined TQuaternion(TQuaternion * this\, TQuaternion * param_1)"
"??0TQuaternion@Toshi@@QAE@ABV01@@Z","10023ca0","Function","2","Toshi::TQuaternion::TQuaternion","","??0TQuaternion@Toshi@@QAE@ABV01@@Z"
"Ordinal_119","10023cc0","Function","3","Toshi::TQuaternion::TQuaternion","","Ordinal_119"
"TQuaternion","10023cc0","Function","3","Toshi::TQuaternion::TQuaternion","undefined","undefined TQuaternion(TQuaternion * this\, TVector3 * param_1\, float param_2)"
"??0TQuaternion@Toshi@@QAE@ABVTVector3@1@M@Z","10023cc0","Function","3","Toshi::TQuaternion::TQuaternion","","??0TQuaternion@Toshi@@QAE@ABVTVector3@1@M@Z"
