"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"ArbitraryUserPointer","ffdff014","Data Label","","","void *","ArbitraryUserPointer"
"Self","ffdff018","Data Label","","","void *","Self"
"EnvironmentPointer","ffdff01c","Data Label","","","void *","EnvironmentPointer"
"ClientId","ffdff020","Data Label","","","CLIENT_ID","ClientId"
"ActiveRpcHandle","ffdff028","Data Label","","","void *","ActiveRpcHandle"
"ThreadLocalStoragePointer","ffdff02c","Data Label","","","void *","ThreadLocalStoragePointer"
"ProcessEnvironmentBlock","ffdff030","Data Label","","","void *","ProcessEnvironmentBlock"
"LastErrorValue","ffdff034","Data Label","","","dword","LastErrorValue"
"CountOfOwnedCriticalSections","ffdff038","Data Label","","","dword","CountOfOwnedCriticalSections"
"CsrClientThread","ffdff03c","Data Label","","","void *","CsrClientThread"
"Win32ThreadInfo","ffdff040","Data Label","","","void *","Win32ThreadInfo"
"User32Reserved","ffdff044","Data Label","","","dword[26]","User32Reserved"
"UserReserved","ffdff0ac","Data Label","","","dword[5]","UserReserved"
"WOW32Reserved","ffdff0c0","Data Label","","","void *","WOW32Reserved"
"CurrentLocale","ffdff0c4","Data Label","","","dword","CurrentLocale"
"FpSoftwareStatusRegister","ffdff0c8","Data Label","","","dword","FpSoftwareStatusRegister"
"SystemReserved1","ffdff0cc","Data Label","","","void *[54]","SystemReserved1"
"ExceptionCode","ffdff1a4","Data Label","","","dword","ExceptionCode"
"ActivationContextStackPointer","ffdff1a8","Data Label","","","void *","ActivationContextStackPointer"
"SpareBytes","ffdff1ac","Data Label","","","uchar[36]","SpareBytes"
"TxFsContext","ffdff1d0","Data Label","","","dword","TxFsContext"
"GdiTebBatch","ffdff1d4","Data Label","","","dword","GdiTebBatch"
"RealClientId","ffdff6b4","Data Label","","","CLIENT_ID","RealClientId"
"GdiCachedProcessHandle","ffdff6bc","Data Label","","","void *","GdiCachedProcessHandle"
"GdiClientPID","ffdff6c0","Data Label","","","dword","GdiClientPID"
"GdiCLientTID","ffdff6c4","Data Label","","","dword","GdiCLientTID"
"GdiThreadLocalInfo","ffdff6c8","Data Label","","","void *","GdiThreadLocalInfo"
"Win32ClientInfo","ffdff6cc","Data Label","","","void *[62]","Win32ClientInfo"
"glDispatchTable","ffdff7c4","Data Label","","","void *[233]","glDispatchTable"
"glReserved1","ffdffb68","Data Label","","","void *[29]","glReserved1"
"glReserved2","ffdffbdc","Data Label","","","void *","glReserved2"
"glSectionInfo","ffdffbe0","Data Label","","","void *","glSectionInfo"
"glSection","ffdffbe4","Data Label","","","void *","glSection"
"glTable","ffdffbe8","Data Label","","","void *","glTable"
"glCurrentRC","ffdffbec","Data Label","","","void *","glCurrentRC"
"glContext","ffdffbf0","Data Label","","","void *","glContext"
"LastStatusValue","ffdffbf4","Data Label","","","dword","LastStatusValue"
"StaticUnicodeBuffer","ffdffc00","Data Label","","","wchar16[261]","StaticUnicodeBuffer"
"DeallocationStack","ffdffe0c","Data Label","","","void *","DeallocationStack"
"TlsSlots","ffdffe10","Data Label","","","void *[64]","TlsSlots"
"TlsLinks.Flink","ffdfff10","Data Label","","","void *","TlsLinks.Flink"
"TlsLinks.Blink","ffdfff14","Data Label","","","void *","TlsLinks.Blink"
"Vdm","ffdfff18","Data Label","","","void *","Vdm"
"ReservedForNtRpc","ffdfff1c","Data Label","","","void *","ReservedForNtRpc"
"DbgSsReserved","ffdfff20","Data Label","","","void *[2]","DbgSsReserved"
"HardErrorMode","ffdfff28","Data Label","","","dword","HardErrorMode"
"Instrumentation","ffdfff2c","Data Label","","","void *[9]","Instrumentation"
"ActivityId","ffdfff50","Data Label","","","GUID","ActivityId"
"SubProcessTag","ffdfff60","Data Label","","","void *","SubProcessTag"
"EtwLocalData","ffdfff64","Data Label","","","void *","EtwLocalData"
"EtwTraceData","ffdfff68","Data Label","","","void *","EtwTraceData"
"WinSockData","ffdfff6c","Data Label","","","void *","WinSockData"
"GdiBatchCount","ffdfff70","Data Label","","","dword","GdiBatchCount"
"IdealProcessorValue","ffdfff74","Data Label","","","dword","IdealProcessorValue"
"GuaranteedStackBytes","ffdfff78","Data Label","","","dword","GuaranteedStackBytes"
"ReservedForPerf","ffdfff7c","Data Label","","","void *","ReservedForPerf"
"ReservedForOle","ffdfff80","Data Label","","","void *","ReservedForOle"
"WaitingOnLoaderLock","ffdfff84","Data Label","","","dword","WaitingOnLoaderLock"
"SavedPriorityState","ffdfff88","Data Label","","","void *","SavedPriorityState"
"SoftPatchPtr1","ffdfff8c","Data Label","","","void *","SoftPatchPtr1"
"ThreadPoolData","ffdfff90","Data Label","","","void *","ThreadPoolData"
"TlsExpansionSlots","ffdfff94","Data Label","","","void *","TlsExpansionSlots"
"MuiGeneration","ffdfff98","Data Label","","","dword","MuiGeneration"
"IsImpersonating","ffdfff9c","Data Label","","","dword","IsImpersonating"
"NlsCache","ffdfffa0","Data Label","","","void *","NlsCache"
"pShimData","ffdfffa4","Data Label","","","void *","pShimData"
"HeapVirtualAffinity","ffdfffa8","Data Label","","","dword","HeapVirtualAffinity"
"CurrentTransactionHandle","ffdfffac","Data Label","","","void *","CurrentTransactionHandle"
"ActiveFrame","ffdfffb0","Data Label","","","void *","ActiveFrame"
"FlsData","ffdfffb4","Data Label","","","void *","FlsData"
"PreferredLanguages","ffdfffb8","Data Label","","","void *","PreferredLanguages"
"UserPrefLanguages","ffdfffbc","Data Label","","","void *","UserPrefLanguages"
"MergedPrefLanguages","ffdfffc0","Data Label","","","void *","MergedPrefLanguages"
"MuiImpersonation","ffdfffc4","Data Label","","","dword","MuiImpersonation"
"CrossTebFlags","ffdfffc8","Data Label","","","ushort","CrossTebFlags"
"SameTebFlags","ffdfffca","Data Label","","","ushort","SameTebFlags"
"TxnScopeEnterCallback","ffdfffcc","Data Label","","","void *","TxnScopeEnterCallback"
"TxnScopeExitCallback","ffdfffd0","Data Label","","","void *","TxnScopeExitCallback"
"TxnScopeContext","ffdfffd4","Data Label","","","void *","TxnScopeContext"
"LockCount","ffdfffd8","Data Label","","","dword","LockCount"
"ResourceRetValue","ffdfffe0","Data Label","","","void *","ResourceRetValue"
