"Name","Location","FunctionSignature","FunctionSize"
"ComputeOrthographicFrustum","10004e40","void ComputeOrthographicFrustum(TRenderContextD3D * this)","531"
"SetRenderMatrices","10005060","void SetRenderMatrices(TRenderContextD3D * this)","59"
"~TRenderContextD3D","100050a0","void ~TRenderContextD3D(TRenderContextD3D * this)","13"
"TRenderContextD3D","100050b0","undefined TRenderContextD3D(TRenderContextD3D * this\, TRenderD3DInterface * param_1)","28"
"GetViewProjectionMatrix","100050d0","TMatrix44 * GetViewProjectionMatrix(TRenderContextD3D * this)","9"
"GetRenderer","100050e0","TRenderD3DInterface * GetRenderer(TRenderContextD3D * this)","4"
"FUN_100050f0","100050f0","undefined FUN_100050f0(undefined * * param_1)","472"
"FUN_100052f0","100052f0","undefined4 FUN_100052f0(int param_1)","68"
"FUN_10005340","10005340","undefined FUN_10005340(void * this\, int param_1)","949"
"FUN_100057a0","100057a0","undefined4 FUN_100057a0(void * this\, int param_1)","235"
"FUN_10005890","10005890","undefined4 * FUN_10005890(undefined4 * param_1)","98"
"FUN_10005950","10005950","undefined2 FUN_10005950(int param_1)","8"
"FUN_10005960","10005960","undefined2 FUN_10005960(int param_1)","8"
"FUN_10005980","10005980","undefined4 FUN_10005980(int param_1)","7"
"FUN_10005990","10005990","int FUN_10005990(int param_1)","6"
"GetDeviceIndex","100059f0","undefined4 GetDeviceIndex(int param_1)","7"
"GetMode","10005a00","undefined4 GetMode(void * this)","7"
"FUN_10005a10","10005a10","int FUN_10005a10(int param_1)","6"
"FUN_10005a20","10005a20","undefined4 FUN_10005a20(int param_1)","4"
"FUN_10005a30","10005a30","undefined FUN_10005a30(void * this\, undefined4 * param_1)","30"
"FUN_10005ae0","10005ae0","int FUN_10005ae0(int param_1)","9"
"FUN_10005af0","10005af0","undefined FUN_10005af0(TRenderAdapter * param_1)","172"
"FUN_10005bc0","10005bc0","undefined FUN_10005bc0(void)","1"
"FUN_10005bd0","10005bd0","undefined FUN_10005bd0(void)","12"
"FUN_10005ce0","10005ce0","undefined FUN_10005ce0(void * this\, uint param_1)","192"
"IsRequiredDXVersionInstalled","10005dd0","undefined4 IsRequiredDXVersionInstalled(void)","36"
"FUN_10005f00","10005f00","undefined * * FUN_10005f00(void * this\, int param_1)","117"
"TRenderD3DInterface","10005f80","undefined TRenderD3DInterface(TRenderD3DInterface * this)","185"
"CreateDisplay","10006040","bool CreateDisplay(TRenderD3DInterface * this\, DisplayParams * param_1)","1152"
"DestroyDisplay","100064d0","bool DestroyDisplay(TRenderD3DInterface * this)","129"
"Update","10006560","bool Update(TRenderD3DInterface * this\, float param_1)","243"
"BeginScene","10006660","bool BeginScene(TRenderD3DInterface * this)","287"
"EndScene","10006780","bool EndScene(TRenderD3DInterface * this)","379"
"IsTextureFormatSupported","10006900","bool IsTextureFormatSupported(TRenderD3DInterface * this\, TTEXTURERESOURCEFORMAT param_1)","75"
